,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
0,3,1,34,0,0,7,3,0
1,3,0,47,1,0,7,1,0
2,2,1,62,0,0,9,3,0
3,3,1,27,0,0,8,1,0
4,3,0,22,1,1,12,1,0
5,3,1,14,0,0,9,1,0
6,3,0,30,0,0,7,3,0
7,2,1,26,1,1,29,1,0
8,3,0,18,0,0,7,2,0
9,3,1,21,2,0,24,1,0
11,1,1,46,0,0,26,1,0
12,1,0,23,1,0,82,1,1
13,2,1,63,1,0,26,1,0
14,1,0,47,1,0,61,1,1
15,2,0,24,1,0,27,2,0
16,2,1,35,0,0,12,3,0
17,3,1,21,0,0,7,2,0
18,3,0,27,1,0,7,1,0
19,3,0,45,0,0,7,2,0
20,1,1,55,1,0,59,2,0
21,3,1,9,0,1,3,1,0
23,1,1,21,0,1,61,2,0
24,1,0,48,1,3,262,2,0
25,3,1,50,1,0,14,1,0
26,1,0,22,0,1,61,2,1
27,3,1,22,0,0,7,2,0
28,1,1,41,0,0,30,1,0
30,2,1,50,1,0,26,1,0
31,2,1,24,2,0,31,1,0
32,3,0,33,1,2,20,1,0
34,1,1,30,1,0,57,2,0
35,3,1,18,0,0,7,2,0
37,3,0,21,0,0,8,1,0
38,3,1,25,0,0,9,1,0
40,3,1,39,0,1,13,2,0
42,3,1,41,0,0,7,1,0
43,2,0,30,0,0,13,1,1
44,1,0,45,1,0,52,1,1
45,3,1,25,0,0,7,1,0
46,1,1,45,0,0,29,2,0
48,1,0,60,0,0,76,2,0
49,3,0,36,0,2,15,1,0
50,1,1,24,1,0,60,1,0
51,2,1,27,0,0,15,2,0
52,2,0,20,2,1,23,1,0
53,1,0,28,3,2,263,1,0
55,3,1,10,4,1,29,3,0
56,3,1,35,0,0,7,1,0
57,3,1,25,0,0,7,1,0
59,1,0,36,0,0,262,2,1
60,3,1,17,0,0,7,1,0
61,2,1,32,0,0,13,1,0
62,3,1,18,0,0,7,1,0
63,3,0,22,0,0,7,3,0
64,1,1,13,2,2,262,2,0
66,3,0,18,0,0,7,3,0
67,1,1,47,0,0,42,1,0
68,1,1,31,0,0,28,2,0
69,1,0,60,1,4,263,1,0
70,3,0,24,0,0,7,3,0
71,3,1,21,0,0,7,1,0
72,3,0,29,0,0,7,1,0
73,1,1,28,0,0,27,2,0
74,1,0,35,0,0,211,2,1
75,1,1,32,0,0,211,2,0
77,1,0,55,2,0,25,1,0
78,2,1,30,0,0,13,1,0
79,3,0,24,0,0,7,3,0
80,3,1,6,1,1,15,2,0
81,1,1,67,1,0,221,1,0
82,1,1,49,0,0,26,1,0
86,3,0,27,0,0,7,3,0
87,3,0,18,0,0,8,1,0
89,2,1,2,1,1,23,1,0
90,3,0,22,1,0,13,1,0
92,1,0,27,1,2,52,1,0
94,1,1,25,0,0,26,2,0
95,3,1,25,0,0,7,1,0
96,1,0,76,1,0,78,1,1
97,3,1,29,0,0,7,1,0
98,3,0,20,0,0,7,1,0
99,3,1,33,0,0,8,1,0
100,1,0,43,1,0,55,2,0
101,2,1,27,1,0,26,1,0
103,3,1,26,0,0,7,1,0
104,3,0,16,1,1,8,2,0
105,3,1,28,0,0,22,1,0
106,3,1,21,0,0,7,3,0
109,2,1,18,0,0,13,1,0
110,2,1,41,0,0,15,2,0
112,1,0,36,0,0,31,2,1
113,3,0,18,0,0,7,3,0
114,1,0,63,1,0,221,1,1
115,3,1,18,1,0,14,2,0
117,3,0,1,1,1,16,1,0
118,1,1,36,0,0,75,2,0
119,2,0,29,1,0,26,1,1
120,2,0,12,0,0,15,1,0
122,1,0,35,1,0,57,2,1
123,3,1,28,0,0,7,1,0
125,3,0,17,0,1,16,1,0
126,3,1,22,0,0,7,1,0
128,2,1,42,0,0,13,1,0
129,3,1,24,0,0,8,1,0
130,3,1,32,0,0,8,1,0
131,1,1,53,0,0,28,2,0
134,3,1,43,0,0,7,1,0
135,3,1,24,0,0,7,1,0
136,3,1,26,0,0,7,2,0
137,2,1,26,0,0,13,1,0
138,3,0,23,0,0,8,1,0
139,3,1,40,1,6,46,1,0
140,3,0,10,5,2,46,1,0
141,1,0,33,0,0,151,1,0
142,1,1,61,1,3,262,2,0
143,2,1,28,0,0,26,1,0
144,1,1,42,0,0,26,1,0
145,3,1,31,3,0,18,1,0
147,3,1,22,0,0,8,1,0
149,2,1,30,1,1,26,1,0
150,1,0,23,0,1,83,2,1
153,3,0,36,0,2,12,1,0
154,3,1,13,4,2,31,1,0
155,3,1,24,0,0,7,1,0
156,1,0,29,0,0,221,1,1
157,3,0,23,0,0,7,1,0
158,1,1,42,0,0,26,1,0
159,3,0,26,0,2,13,1,0
161,3,1,7,1,1,15,2,0
162,2,0,26,0,0,13,1,0
164,2,1,41,0,0,13,1,0
165,3,0,26,1,1,22,1,0
166,1,1,48,0,0,50,2,0
167,3,1,18,2,2,34,1,0
169,3,0,22,0,0,8,1,0
171,3,1,27,0,0,7,2,0
172,3,1,23,1,0,13,1,0
174,3,1,40,1,5,31,1,0
175,2,0,15,0,2,39,1,1
176,2,0,20,0,0,36,1,1
177,1,1,54,1,0,55,2,0
178,2,0,36,0,3,39,1,0
179,1,0,64,0,2,83,2,0
180,2,1,30,0,0,13,1,0
181,1,1,37,1,1,83,2,0
182,1,0,18,1,0,53,1,1
184,1,0,27,1,1,247,2,0
185,2,1,40,0,0,16,1,0
186,2,0,21,0,1,21,1,0
187,3,1,17,2,0,8,1,0
189,2,1,40,0,0,13,1,0
190,2,1,34,1,0,26,1,0
192,3,1,11,1,1,14,1,0
193,2,1,61,0,0,12,3,0
194,2,1,8,0,2,32,1,0
195,3,1,33,0,0,7,1,0
196,1,1,6,0,2,134,2,0
197,3,0,18,0,0,7,1,0
198,2,1,23,0,0,10,1,0
201,3,1,0,0,2,14,1,1
202,1,1,47,1,0,227,2,0
203,2,0,8,1,1,26,1,0
204,2,1,25,0,0,10,1,0
206,3,0,35,0,0,7,3,0
207,2,1,24,0,0,10,1,0
208,1,0,33,0,0,27,2,1
209,3,1,25,0,0,7,1,0
210,3,1,32,0,0,22,1,0
212,2,1,17,0,0,73,1,0
213,2,0,60,1,0,26,1,0
214,3,0,38,4,2,7,1,0
215,1,1,42,0,0,42,1,0
217,1,1,57,1,1,164,1,0
218,1,0,50,1,1,211,2,0
220,2,0,30,1,0,13,2,0
221,3,1,21,0,0,8,1,0
222,2,0,22,0,0,10,1,0
223,3,1,21,0,0,7,1,0
224,1,0,53,0,0,27,2,0
226,3,1,23,0,0,7,1,0
228,3,1,40,0,0,15,1,0
229,2,1,36,0,0,13,1,0
230,2,1,14,0,0,65,1,0
231,1,0,21,0,0,26,1,1
232,3,1,21,1,0,6,1,0
234,1,1,39,1,0,71,2,0
235,3,1,20,0,0,7,1,0
236,1,1,64,1,0,75,2,0
237,3,1,20,0,0,7,2,0
238,2,0,18,1,1,13,1,0
239,1,0,48,1,0,106,2,1
240,1,0,55,0,0,27,2,0
241,2,0,45,0,2,30,1,0
242,1,1,45,1,1,134,2,0
245,1,1,41,1,0,51,1,0
246,2,0,22,0,0,21,1,0
247,2,1,42,1,1,32,1,0
248,2,0,29,1,0,26,1,1
250,2,0,0,1,2,27,1,0
251,3,1,20,0,0,7,1,0
252,1,1,27,1,0,136,2,0
253,3,1,24,0,0,9,1,0
254,3,1,32,0,0,9,1,0
257,3,1,28,0,0,8,1,0
258,2,0,19,0,0,13,1,0
259,3,1,21,0,0,7,1,0
260,3,1,36,1,0,17,1,0
261,3,1,21,0,0,7,1,0
262,2,0,29,0,2,23,1,0
263,3,0,1,1,1,12,1,0
264,2,1,30,0,0,12,2,0
269,3,1,17,0,0,8,1,0
270,1,1,46,0,0,75,2,0
272,1,0,26,1,0,136,2,0
275,2,0,20,1,0,26,1,0
276,2,1,28,0,0,10,1,0
277,2,1,40,1,0,26,1,0
278,2,1,30,1,0,21,1,0
279,2,1,22,0,0,10,1,0
280,3,0,23,0,0,8,1,0
281,3,1,0,1,1,13,1,1
283,3,0,9,1,1,15,2,0
284,3,0,2,1,1,20,1,0
285,3,1,36,0,0,7,1,0
287,1,1,24,1,0,82,1,0
291,3,0,30,0,0,6,3,0
293,1,1,53,1,1,81,1,0
294,3,1,36,0,0,9,1,0
295,3,1,26,0,0,7,1,0
296,2,0,1,1,2,41,2,0
298,1,1,30,0,0,45,1,0
299,3,1,29,0,0,7,1,0
